Name
State
2021 Population 
2010 Population
Growth Since 2010
Los Angeles County	California	9,969,510	9,823,250	1.49%
Cook County	Illinois	5,106,780	5,199,020	-1.77%
Harris County	Texas	4,779,880	4,107,670	16.36%
Maricopa County	Arizona	4,651,440	3,825,110	21.60%
San Diego County	California	3,347,270	3,103,210	7.86%
Orange County	California	3,175,130	3,015,170	5.31%
Miami-Dade County	Florida	2,721,110	2,506,970	8.54%
Dallas County	Texas	2,647,850	2,372,990	11.58%
Kings County	New York	2,523,560	2,509,830	0.55%
Riverside County	California	2,520,060	2,201,580	14.47%
Clark County	Nevada	2,347,920	1,952,590	20.25%
King County	Washington	2,301,620	1,938,350	18.74%
Queens County	New York	2,212,360	2,234,700	-1.00%
San Bernardino County	California	2,206,750	2,040,850	8.13%
Tarrant County	Texas	2,144,650	1,817,480	18.00%
Bexar County	Texas	2,048,290	1,722,840	18.89%
Broward County	Florida	1,966,120	1,752,800	12.17%
Santa Clara County	California	1,918,880	1,786,040	7.44%
Wayne County	Michigan	1,739,120	1,815,080	-4.18%
Alameda County	California	1,680,480	1,512,990	11.07%
New York County	New York	1,628,010	1,588,770	2.47%
Middlesex County	Massachusetts	1,618,160	1,507,680	7.33%
Philadelphia County	Pennsylvania	1,585,010	1,528,280	3.71%
Sacramento County	California	1,578,680	1,421,380	11.07%
Palm Beach County	Florida	1,524,560	1,323,620	15.18%
Hillsborough County	Florida	1,512,070	1,233,500	22.58%
Suffolk County	New York	1,468,140	1,494,340	-1.75%
Orange County	Florida	1,417,280	1,148,560	23.40%
Bronx County	New York	1,390,450	1,387,300	0.23%
Nassau County	New York	1,355,700	1,341,670	1.05%
Franklin County	Ohio	1,334,870	1,166,200	14.46%
Travis County	Texas	1,328,720	1,030,500	28.94%
Hennepin County	Minnesota	1,281,680	1,154,190	11.05%
Oakland County	Michigan	1,259,360	1,203,110	4.68%
Cuyahoga County	Ohio	1,221,780	1,278,090	-4.41%
Allegheny County	Pennsylvania	1,213,570	1,223,960	-0.85%
Salt Lake County	Utah	1,183,930	1,032,980	14.61%
Contra Costa County	California	1,159,540	1,052,540	10.17%
Wake County	North Carolina	1,152,740	906,870	27.11%
Fairfax County	Virginia	1,145,670	1,086,160	5.48%
Mecklenburg County	North Carolina	1,143,570	923,242	23.86%
Collin County	Texas	1,095,580	787,614	39.10%
Fulton County	Georgia	1,091,550	925,632	17.92%
Pima County	Arizona	1,068,730	981,620	8.87%
Montgomery County	Maryland	1,055,110	975,602	8.15%
Fresno County	California	1,013,400	932,039	8.73%
St. Louis County	Missouri	992,177	998,840	-0.67%
Pinellas County	Florida	978,872	916,412	6.82%
Marion County	Indiana	976,346	904,591	7.93%
Duval County	Florida	975,961	865,628	12.75%
Westchester County	New York	966,092	950,601	1.63%
Honolulu County	Hawaii	963,973	956,285	0.80%
Gwinnett County	Georgia	954,076	808,007	18.08%
Denton County	Texas	944,139	666,760	41.60%
Milwaukee County	Wisconsin	943,240	948,285	-0.53%
Fairfield County	Connecticut	942,054	919,355	2.47%
Shelby County	Tennessee	938,768	928,447	1.11%
Bergen County	New Jersey	930,974	906,284	2.72%
Pierce County	Washington	927,428	795,390	16.60%
Erie County	New York	916,672	919,152	-0.27%
DuPage County	Illinois	914,269	917,983	-0.40%
Kern County	California	913,090	840,996	8.57%
Prince George's County	Maryland	908,743	866,419	4.88%
Hartford County	Connecticut	890,000	895,236	-0.58%
San Francisco County	California	883,255	805,505	9.65%
Hidalgo County	Texas	881,525	779,149	13.14%
Macomb County	Michigan	876,326	841,352	4.16%
Fort Bend County	Texas	858,902	590,253	45.51%
New Haven County	Connecticut	850,329	863,357	-1.51%
El Paso County	Texas	844,064	803,576	5.04%
Ventura County	California	841,734	825,097	2.02%
Snohomish County	Washington	840,131	715,500	17.42%
Montgomery County	Pennsylvania	838,897	800,874	4.75%
Worcester County	Massachusetts	833,758	800,391	4.17%
Baltimore County	Maryland	826,392	806,656	2.45%
Middlesex County	New Jersey	822,842	810,758	1.49%
Hamilton County	Ohio	821,529	802,278	2.40%
Multnomah County	Oregon	820,421	737,276	11.28%
Oklahoma County	Oklahoma	811,116	720,762	12.54%
Suffolk County	Massachusetts	805,427	725,772	10.98%
Lee County	Florida	802,791	620,449	29.39%
